Geo_FIPS	Geo_NAME	Geo_QNAME	Geo_NATION	Geo_STATE	Geo_COUNTY	Geo_MSA	ORG_US_unemployment_018_20Jul_Civilian_Labor_force	ORG_US_unemployment_018_20Jul_Employed	ORG_US_unemployment_018_20Jul_Level	ORG_US_unemployment_018_20Jul_Rate	ORG_US_unemployment_009_19Jul_Civilian_Labor_force	ORG_US_unemployment_009_19Jul_Employed	ORG_US_unemployment_009_19Jul_Level	ORG_US_unemployment_009_19Jul_Rate	ORG_UNEMPLOYMENT_028_001	ORG_UNEMPLOYMENT_028_002	ORG_UNEMPLOYMENT_028_003	ORG_UNEMPLOYMENT_028_004	ORG_US_unemployment_017_20Jun_Civilian_Labor_force	ORG_US_unemployment_017_20Jun_Employed	ORG_US_unemployment_017_20Jun_Level	ORG_US_unemployment_017_20Jun_Rate	ORG_US_unemployment_008_19Jun_Civilian_Labor_force	ORG_US_unemployment_008_19Jun_Employed	ORG_US_unemployment_008_19Jun_Level	ORG_US_unemployment_008_19Jun_Rate	ORG_UNEMPLOYMENT_027_001	ORG_UNEMPLOYMENT_027_002	ORG_UNEMPLOYMENT_027_003	ORG_UNEMPLOYMENT_027_004	ORG_US_unemployment_016_20May_Civilian_Labor_force	ORG_US_unemployment_016_20May_Employed	ORG_US_unemployment_016_20May_Level	ORG_US_unemployment_016_20May_Rate	ORG_US_unemployment_007_19May_Civilian_Labor_force	ORG_US_unemployment_007_19May_Employed	ORG_US_unemployment_007_19May_Level	ORG_US_unemployment_007_19May_Rate	ORG_UNEMPLOYMENT_022_001	ORG_UNEMPLOYMENT_022_002	ORG_UNEMPLOYMENT_022_003	ORG_UNEMPLOYMENT_022_004	ORG_US_unemployment_015_20Apr_Civilian_Labor_force	ORG_US_unemployment_015_20Apr_Employed	ORG_US_unemployment_015_20Apr_Level	ORG_US_unemployment_015_20Apr_Rate	ORG_US_unemployment_006_19Apr_Civilian_Labor_force	ORG_US_unemployment_006_19Apr_Employed	ORG_US_unemployment_006_19Apr_Level	ORG_US_unemployment_006_19Apr_Rate	ORG_UNEMPLOYMENT_021_001	ORG_UNEMPLOYMENT_021_002	ORG_UNEMPLOYMENT_021_003	ORG_UNEMPLOYMENT_021_004	ORG_US_unemployment_003_20Mar_Civilian_Labor_force	ORG_US_unemployment_003_20Mar_Employed	ORG_US_unemployment_003_20Mar_Level	ORG_US_unemployment_003_20Mar_Rate	ORG_US_unemployment_005_19Mar_Civilian_Labor_force	ORG_US_unemployment_005_19Mar_Employed	ORG_US_unemployment_005_19Mar_Level	ORG_US_unemployment_005_19Mar_Rate	ORG_UNEMPLOYMENT_015_001	ORG_UNEMPLOYMENT_015_002	ORG_UNEMPLOYMENT_015_003	ORG_UNEMPLOYMENT_015_004	ORG_US_unemployment_002_20Feb_Civilian_Labor_force	ORG_US_unemployment_002_20Feb_Employed	ORG_US_unemployment_002_20Feb_Level	ORG_US_unemployment_002_20Feb_Rate	ORG_US_unemployment_004_19Feb_Civilian_Labor_force	ORG_US_unemployment_004_19Feb_Employed	ORG_US_unemployment_004_19Feb_Level	ORG_US_unemployment_004_19Feb_Rate	ORG_UNEMPLOYMENT_016_001	ORG_UNEMPLOYMENT_016_002	ORG_UNEMPLOYMENT_016_003	ORG_UNEMPLOYMENT_016_004	ORG_UNEMPLOYMENT_030_001	ORG_UNEMPLOYMENT_030_002	ORG_UNEMPLOYMENT_030_003	ORG_UNEMPLOYMENT_030_004	ORG_US_unemployment_017_20Jun_Civilian_Labor_force	ORG_US_unemployment_017_20Jun_Employed	ORG_US_unemployment_017_20Jun_Level	ORG_US_unemployment_017_20Jun_Rate	ORG_US_unemployment_018_20Jul_Civilian_Labor_force	ORG_US_unemployment_018_20Jul_Employed	ORG_US_unemployment_018_20Jul_Level	ORG_US_unemployment_018_20Jul_Rate	ORG_UNEMPLOYMENT_029_001	ORG_UNEMPLOYMENT_029_002	ORG_UNEMPLOYMENT_029_003	ORG_UNEMPLOYMENT_029_004	ORG_US_unemployment_016_20May_Civilian_Labor_force	ORG_US_unemployment_016_20May_Employed	ORG_US_unemployment_016_20May_Level	ORG_US_unemployment_016_20May_Rate	ORG_US_unemployment_017_20Jun_Civilian_Labor_force	ORG_US_unemployment_017_20Jun_Employed	ORG_US_unemployment_017_20Jun_Level	ORG_US_unemployment_017_20Jun_Rate	ORG_UNEMPLOYMENT_024_001	ORG_UNEMPLOYMENT_024_002	ORG_UNEMPLOYMENT_024_003	ORG_UNEMPLOYMENT_024_004	ORG_US_unemployment_015_20Apr_Civilian_Labor_force	ORG_US_unemployment_015_20Apr_Employed	ORG_US_unemployment_015_20Apr_Level	ORG_US_unemployment_015_20Apr_Rate	ORG_US_unemployment_016_20May_Civilian_Labor_force	ORG_US_unemployment_016_20May_Employed	ORG_US_unemployment_016_20May_Level	ORG_US_unemployment_016_20May_Rate	ORG_UNEMPLOYMENT_023_001	ORG_UNEMPLOYMENT_023_002	ORG_UNEMPLOYMENT_023_003	ORG_UNEMPLOYMENT_023_004	ORG_US_unemployment_003_20Mar_Civilian_Labor_force	ORG_US_unemployment_003_20Mar_Employed	ORG_US_unemployment_003_20Mar_Level	ORG_US_unemployment_003_20Mar_Rate	ORG_US_unemployment_015_20Apr_Civilian_Labor_force	ORG_US_unemployment_015_20Apr_Employed	ORG_US_unemployment_015_20Apr_Level	ORG_US_unemployment_015_20Apr_Rate	ORG_UNEMPLOYMENT_018_001	ORG_UNEMPLOYMENT_018_002	ORG_UNEMPLOYMENT_018_003	ORG_UNEMPLOYMENT_018_004	ORG_US_unemployment_002_20Feb_Civilian_Labor_force	ORG_US_unemployment_002_20Feb_Employed	ORG_US_unemployment_002_20Feb_Level	ORG_US_unemployment_002_20Feb_Rate	ORG_US_unemployment_003_20Mar_Civilian_Labor_force	ORG_US_unemployment_003_20Mar_Employed	ORG_US_unemployment_003_20Mar_Level	ORG_US_unemployment_003_20Mar_Rate	ORG_UNEMPLOYMENT_017_001	ORG_UNEMPLOYMENT_017_002	ORG_UNEMPLOYMENT_017_003	ORG_UNEMPLOYMENT_017_004	ORG_US_unemployment_001_20Jan_Civilian_Labor_force	ORG_US_unemployment_001_20Jan_Employed	ORG_US_unemployment_001_20Jan_Level	ORG_US_unemployment_001_20Jan_Rate	ORG_US_unemployment_002_20Feb_Civilian_Labor_force	ORG_US_unemployment_002_20Feb_Employed	ORG_US_unemployment_002_20Feb_Level	ORG_US_unemployment_002_20Feb_Rate
"01001"	"Autauga County"	"Autauga County, Alabama"	"00"	"01"	"001"	""	25349	23680	1669	6.6	26279	25552	727	2.8	-930	-1872	942	3.8	25060	23412	1648	6.6	26310	25536	774	2.9	-1250	-2124	874	3.7	25586	23593	1993	7.8	26271	25680	591	2.2	-685	-2087	1402	5.6	25140	22262	2878	11.4	26165	25552	613	2.3	-1025	-3290	2265	9.1	25835	25114	721	2.8	26255	25424	831	3.2	-420	-310	-110	-0.4	25906	25196	710	2.7	26256	25353	903	3.4	-350	-157	-193	-0.7	289	268	21	0	25060	23412	1648	6.6	25349	23680	1669	6.6	-526	-181	-345	-1.2	25586	23593	1993	7.8	25060	23412	1648	6.6	446	1331	-885	-3.6	25140	22262	2878	11.4	25586	23593	1993	7.8	-695	-2852	2157	8.6	25835	25114	721	2.8	25140	22262	2878	11.4	-71	-82	11	0.0999999999999996	25906	25196	710	2.7	25835	25114	721	2.8	-6	71	-77	-0.3	25912	25125	787	3	25906	25196	710	2.7
"01003"	"Baldwin County"	"Baldwin County, Alabama"	"00"	"01"	"003"	""	98935	91654	7281	7.4	99665	97121	2544	2.6	-730	-5467	4737	4.8	97972	90847	7125	7.3	99811	97012	2799	2.8	-1839	-6165	4326	4.5	96285	87248	9037	9.4	98311	96129	2182	2.2	-2026	-8881	6855	7.2	93597	79140	14457	15.4	97486	95092	2394	2.5	-3889	-15952	12063	12.9	96391	93782	2609	2.7	97617	94468	3149	3.2	-1226	-686	-540	-0.5	95924	93418	2506	2.6	95901	92454	3447	3.6	23	964	-941	-1	963	807	156	0.100000000000001	97972	90847	7125	7.3	98935	91654	7281	7.4	1687	3599	-1912	-2.1	96285	87248	9037	9.4	97972	90847	7125	7.3	2688	8108	-5420	-6	93597	79140	14457	15.4	96285	87248	9037	9.4	-2794	-14642	11848	12.7	96391	93782	2609	2.7	93597	79140	14457	15.4	467	364	103	0.1	95924	93418	2506	2.6	96391	93782	2609	2.7	608	1029	-421	-0.5	95316	92389	2927	3.1	95924	93418	2506	2.6
"01005"	"Barbour County"	"Barbour County, Alabama"	"00"	"01"	"005"	""	9286	8411	875	9.4	8625	8271	354	4.1	661	140	521	5.3	8949	8166	783	8.7	8504	8148	356	4.2	445	18	427	4.5	8700	7947	753	8.7	8416	8152	264	3.1	284	-205	489	5.6	8116	7310	806	9.9	8428	8152	276	3.3	-312	-842	530	6.6	8537	8221	316	3.7	8426	8069	357	4.2	111	152	-41	-0.5	8532	8234	298	3.5	8420	8026	394	4.7	112	208	-96	-1.2	337	245	92	0.700000000000001	8949	8166	783	8.7	9286	8411	875	9.4	249	219	30	0	8700	7947	753	8.7	8949	8166	783	8.7	584	637	-53	-1.2	8116	7310	806	9.9	8700	7947	753	8.7	-421	-911	490	6.2	8537	8221	316	3.7	8116	7310	806	9.9	5	-13	18	0.2	8532	8234	298	3.5	8537	8221	316	3.7	23	48	-25	-0.3	8509	8186	323	3.8	8532	8234	298	3.5
"01007"	"Bibb County"	"Bibb County, Alabama"	"00"	"01"	"007"	""	8634	7899	735	8.5	8713	8444	269	3.1	-79	-545	466	5.4	8550	7824	726	8.5	8690	8401	289	3.3	-140	-577	437	5.2	8814	7872	942	10.7	8605	8391	214	2.5	209	-519	728	8.2	9023	7428	1595	17.7	8650	8403	247	2.9	373	-975	1348	14.8	8617	8348	269	3.1	8694	8384	310	3.6	-77	-36	-41	-0.5	8628	8374	254	2.9	8702	8358	344	4	-74	16	-90	-1.1	84	75	9	0	8550	7824	726	8.5	8634	7899	735	8.5	-264	-48	-216	-2.2	8814	7872	942	10.7	8550	7824	726	8.5	-209	444	-653	-7	9023	7428	1595	17.7	8814	7872	942	10.7	406	-920	1326	14.6	8617	8348	269	3.1	9023	7428	1595	17.7	-11	-26	15	0.2	8628	8374	254	2.9	8617	8348	269	3.1	-1	32	-33	-0.4	8629	8342	287	3.3	8628	8374	254	2.9
"01009"	"Blount County"	"Blount County, Alabama"	"00"	"01"	"009"	""	24565	23222	1343	5.5	25535	24859	676	2.6	-970	-1637	667	2.9	24380	23010	1370	5.6	25384	24655	729	2.9	-1004	-1645	641	2.7	24584	23016	1568	6.4	25136	24589	547	2.2	-552	-1573	1021	4.2	23944	21685	2259	9.4	25198	24614	584	2.3	-1254	-2929	1675	7.1	25103	24421	682	2.7	25331	24538	793	3.1	-228	-117	-111	-0.4	25179	24544	635	2.5	25302	24432	870	3.4	-123	112	-235	-0.9	185	212	-27	-0.0999999999999996	24380	23010	1370	5.6	24565	23222	1343	5.5	-204	-6	-198	-0.800000000000001	24584	23016	1568	6.4	24380	23010	1370	5.6	640	1331	-691	-3	23944	21685	2259	9.4	24584	23016	1568	6.4	-1159	-2736	1577	6.7	25103	24421	682	2.7	23944	21685	2259	9.4	-76	-123	47	0.2	25179	24544	635	2.5	25103	24421	682	2.7	81	192	-111	-0.5	25098	24352	746	3	25179	24544	635	2.5
"01011"	"Bullock County"	"Bullock County, Alabama"	"00"	"01"	"011"	""	4929	4560	369	7.5	4926	4733	193	3.9	3	-173	176	3.6	4810	4498	312	6.5	4830	4663	167	3.5	-20	-165	145	3	4551	4238	313	6.9	4748	4622	126	2.7	-197	-384	187	4.2	4339	3947	392	9	4816	4678	138	2.9	-477	-731	254	6.1	4610	4453	157	3.4	4800	4628	172	3.6	-190	-175	-15	-0.2	4784	4629	155	3.2	4830	4631	199	4.1	-46	-2	-44	-0.899999999999999	119	62	57	1	4810	4498	312	6.5	4929	4560	369	7.5	259	260	-1	-0.4	4551	4238	313	6.9	4810	4498	312	6.5	212	291	-79	-2.1	4339	3947	392	9	4551	4238	313	6.9	-271	-506	235	5.6	4610	4453	157	3.4	4339	3947	392	9	-174	-176	2	0.2	4784	4629	155	3.2	4610	4453	157	3.4	110	149	-39	-1	4674	4480	194	4.2	4784	4629	155	3.2
"01013"	"Butler County"	"Butler County, Alabama"	"00"	"01"	"013"	""	9794	8667	1127	11.5	9319	8954	365	3.9	475	-287	762	7.6	9481	8469	1012	10.7	9321	8986	335	3.6	160	-517	677	7.1	9564	8398	1166	12.2	9403	9143	260	2.8	161	-745	906	9.4	9622	7728	1894	19.7	9280	8983	297	3.2	342	-1255	1597	16.5	9030	8663	367	4.1	9190	8826	364	4	-160	-163	3	0.0999999999999996	9251	8871	380	4.1	9160	8763	397	4.3	91	108	-17	-0.2	313	198	115	0.800000000000001	9481	8469	1012	10.7	9794	8667	1127	11.5	-83	71	-154	-1.5	9564	8398	1166	12.2	9481	8469	1012	10.7	-58	670	-728	-7.5	9622	7728	1894	19.7	9564	8398	1166	12.2	592	-935	1527	15.6	9030	8663	367	4.1	9622	7728	1894	19.7	-221	-208	-13	0	9251	8871	380	4.1	9030	8663	367	4.1	96	99	-3	-0.100000000000001	9155	8772	383	4.2	9251	8871	380	4.1
"01015"	"Calhoun County"	"Calhoun County, Alabama"	"00"	"01"	"015"	""	44794	40557	4237	9.5	46131	44470	1661	3.6	-1337	-3913	2576	5.9	44000	39888	4112	9.3	46355	44571	1784	3.8	-2355	-4683	2328	5.5	45149	39929	5220	11.6	46092	44729	1363	3	-943	-4800	3857	8.6	47895	39178	8717	18.2	45910	44474	1436	3.1	1985	-5296	7281	15.1	45630	44010	1620	3.6	46300	44442	1858	4	-670	-432	-238	-0.4	45942	44376	1566	3.4	46263	44179	2084	4.5	-321	197	-518	-1.1	794	669	125	0.199999999999999	44000	39888	4112	9.3	44794	40557	4237	9.5	-1149	-41	-1108	-2.3	45149	39929	5220	11.6	44000	39888	4112	9.3	-2746	751	-3497	-6.6	47895	39178	8717	18.2	45149	39929	5220	11.6	2265	-4832	7097	14.6	45630	44010	1620	3.6	47895	39178	8717	18.2	-312	-366	54	0.2	45942	44376	1566	3.4	45630	44010	1620	3.6	-117	61	-178	-0.4	46059	44315	1744	3.8	45942	44376	1566	3.4
"01017"	"Chambers County"	"Chambers County, Alabama"	"00"	"01"	"017"	""	16374	14976	1398	8.5	15789	15266	523	3.3	585	-290	875	5.2	16168	14638	1530	9.5	15694	15204	490	3.1	474	-566	1040	6.4	16749	14799	1950	11.6	15612	15243	369	2.4	1137	-444	1581	9.2	16369	13829	2540	15.5	15675	15267	408	2.6	694	-1438	2132	12.9	15759	15284	475	3	15763	15226	537	3.4	-4	58	-62	-0.4	15709	15264	445	2.8	15694	15120	574	3.7	15	144	-129	-0.9	206	338	-132	-1	16168	14638	1530	9.5	16374	14976	1398	8.5	-581	-161	-420	-2.1	16749	14799	1950	11.6	16168	14638	1530	9.5	380	970	-590	-3.9	16369	13829	2540	15.5	16749	14799	1950	11.6	610	-1455	2065	12.5	15759	15284	475	3	16369	13829	2540	15.5	50	20	30	0.2	15709	15264	445	2.8	15759	15284	475	3	11	77	-66	-0.5	15698	15187	511	3.3	15709	15264	445	2.8
"01019"	"Cherokee County"	"Cherokee County, Alabama"	"00"	"01"	"019"	""	11643	11017	626	5.4	11633	11291	342	2.9	10	-274	284	2.5	11619	10937	682	5.9	11795	11428	367	3.1	-176	-491	315	2.8	11892	10990	902	7.6	11644	11363	281	2.4	248	-373	621	5.2	11807	10378	1429	12.1	11585	11297	288	2.5	222	-919	1141	9.6	11597	11263	334	2.9	11733	11345	388	3.3	-136	-82	-54	-0.4	11394	11072	322	2.8	11728	11243	485	4.1	-334	-171	-163	-1.3	24	80	-56	-0.5	11619	10937	682	5.9	11643	11017	626	5.4	-273	-53	-220	-1.7	11892	10990	902	7.6	11619	10937	682	5.9	85	612	-527	-4.5	11807	10378	1429	12.1	11892	10990	902	7.6	210	-885	1095	9.2	11597	11263	334	2.9	11807	10378	1429	12.1	203	191	12	0.1	11394	11072	322	2.8	11597	11263	334	2.9	21	81	-60	-0.6	11373	10991	382	3.4	11394	11072	322	2.8
